,ID,Away Team,Away Team Score,Home Team,Home Team Score
0,1,16,0,6,1
1,2,1,3,8,0
2,3,10,3,11,4
3,4,7,1,17,0
4,5,9,3,18,0
5,6,14,2,19,0
6,7,5,3,3,1
7,8,20,2,15,0
8,9,19,1,1,2
9,10,15,0,2,1
10,11,11,2,5,0
11,12,18,2,7,5
12,13,8,3,10,4
13,14,4,2,9,4
14,15,6,3,13,1
15,16,3,3,14,0
16,17,17,5,16,2
17,18,12,3,20,1
18,19,13,3,3,2
19,20,16,1,4,0
20,21,7,2,6,1
21,22,2,3,8,0
22,23,1,1,11,3
23,24,9,5,12,2
24,25,10,1,15,0
25,26,14,1,17,1
26,27,5,3,18,3
27,28,20,0,19,4
28,29,15,1,1,2
29,30,11,2,2,7
30,31,6,0,5,4
31,32,3,2,7,4
32,33,12,1,10,1
33,34,19,3,9,0
34,35,17,6,13,1
35,36,4,1,14,3
36,37,18,0,16,2
37,38,8,0,20,1
38,39,16,3,5,3
39,40,3,1,6,1
40,41,11,2,7,2
41,42,20,1,10,0
42,43,2,1,9,0
43,44,1,0,12,1
44,45,13,4,14,1
45,46,8,1,15,1
46,47,19,3,17,3
47,48,4,0,18,0
48,49,9,1,1,0
49,50,10,3,2,0
50,51,18,1,3,1
51,52,17,1,4,0
52,53,6,2,8,1
53,54,15,1,11,2
54,55,5,0,13,0
55,56,7,0,16,2
56,57,12,1,19,1
57,58,14,1,20,1
58,59,16,4,2,3
59,60,5,3,4,0
60,61,18,0,8,2
61,62,9,4,10,1
62,63,19,1,11,2
63,64,1,1,13,0
64,65,7,1,14,2
65,66,12,1,15,0
66,67,3,1,17,2
67,68,6,0,20,2
68,69,2,3,1,0
69,70,4,0,3,0
70,71,15,1,5,4
71,72,10,1,6,4
72,73,13,3,7,1
73,74,20,0,9,1
74,75,11,1,12,1
75,76,14,0,16,2
76,77,17,1,18,0
77,78,8,0,19,1
78,79,3,2,2,1
79,80,6,0,4,1
80,81,7,3,8,2
81,82,1,0,10,0
82,83,9,0,11,3
83,84,18,0,13,1
84,85,5,2,14,0
85,86,19,1,15,0
86,87,12,0,17,2
87,88,16,1,20,1
88,89,20,2,1,1
89,90,11,1,3,1
90,91,17,0,5,0
91,92,14,2,6,0
92,93,10,1,7,0
93,94,8,2,9,1
94,95,4,0,12,5
95,96,13,3,16,2
96,97,15,0,18,1
97,98,2,1,19,2
98,99,14,0,2,2
99,100,16,2,3,1
100,101,7,1,4,1
101,102,10,1,5,3
102,103,20,0,11,4
103,104,8,0,12,2
104,105,9,2,15,1
105,106,1,0,17,2
106,107,6,5,18,1
107,108,13,3,19,1
108,109,4,1,1,0
109,110,17,1,6,1
110,111,5,0,7,1
111,112,11,1,8,1
112,113,19,2,10,1
113,114,3,0,9,3
114,115,12,0,13,0
115,116,18,1,14,2
116,117,15,0,16,3
117,118,2,1,20,0
118,119,16,1,1,1
119,120,4,0,2,0
120,121,3,0,8,0
121,122,14,2,10,5
122,123,7,2,9,0
123,124,13,3,15,2
124,125,6,1,19,1
125,126,5,1,20,2
126,127,17,1,11,2
127,128,18,1,12,1
128,129,15,1,3,1
129,130,20,1,4,2
130,131,19,0,5,3
131,132,11,7,6,0
132,133,1,1,7,2
133,134,10,2,13,6
134,135,8,1,14,1
135,136,12,1,16,0
136,137,9,2,17,0
137,138,2,3,18,0
138,139,5,1,1,3
139,140,6,0,2,3
140,141,16,0,8,0
141,142,4,0,10,1
142,143,13,2,9,2
143,144,18,1,11,1
144,145,14,0,12,2
145,146,7,1,15,0
146,147,3,2,19,2
147,148,17,1,20,1
148,149,1,1,3,0
149,150,15,0,4,1
150,151,2,1,5,1
151,152,9,1,6,1
152,153,12,3,7,1
153,154,20,0,13,1
154,155,11,0,14,0
155,156,19,0,16,0
156,157,8,1,17,1
157,158,10,5,18,0
158,159,20,3,3,3
159,160,8,1,4,1
160,161,12,3,5,1
161,162,15,0,6,2
162,163,19,1,7,0
163,164,2,1,13,2
164,165,9,2,14,1
165,166,11,0,16,1
166,167,10,0,17,3
167,168,1,4,18,0
168,169,6,0,1,0
169,170,17,2,2,0
170,171,13,2,8,1
171,172,16,0,10,3
172,173,5,0,9,2
173,174,14,0,15,1
174,175,18,1,19,2
175,176,7,2,20,1
176,177,4,1,11,0
177,178,3,0,12,1
178,179,14,0,1,3
179,181,5,1,8,0
180,182,3,1,10,0
181,183,16,0,9,2
182,184,13,0,11,0
183,185,6,0,12,4
184,186,17,3,15,1
185,187,4,0,19,1
186,188,18,3,20,2
187,189,8,0,3,0
188,190,2,2,4,3
189,191,9,1,7,1
190,192,15,2,13,1
191,193,12,5,18,0
192,194,20,0,5,0
193,195,19,3,6,2
194,196,10,2,14,1
195,197,1,3,16,1
196,198,11,3,17,1
197,199,13,0,1,0
198,200,17,0,3,1
199,201,4,0,5,2
200,202,20,0,6,1
201,203,14,2,7,0
202,204,10,3,9,1
203,205,15,0,12,1
204,206,2,1,16,0
205,207,8,2,18,2
206,208,11,3,19,1
207,209,19,3,2,1
208,210,12,2,4,0
209,211,9,2,8,0
210,212,7,2,10,1
211,213,16,0,13,9
212,214,18,1,15,2
213,215,1,1,20,2
214,216,3,1,11,0
215,217,6,2,14,1
216,218,5,1,17,0
217,219,1,0,2,1
218,220,3,1,4,1
219,221,19,0,8,0
220,222,6,0,10,2
221,223,12,4,11,1
222,224,7,3,13,3
223,225,16,2,14,3
224,226,5,2,15,1
225,227,18,0,17,2
226,228,9,0,20,0
227,229,10,2,1,4
228,230,2,0,3,0
229,231,14,0,5,2
230,232,4,3,6,0
231,233,8,2,7,0
232,234,11,1,9,3
233,235,17,0,12,3
234,236,20,2,16,1
235,237,13,1,18,1
236,238,15,0,19,3
237,239,12,1,1,0
238,240,9,2,2,1
239,241,6,2,3,1
240,242,18,0,4,0
241,243,15,0,8,1
242,244,7,2,11,0
243,245,14,1,13,3
244,246,5,1,16,1
245,247,17,1,19,2
246,248,10,0,20,1
247,249,13,0,5,0
248,250,8,0,6,0
249,251,16,0,7,1
250,252,2,1,10,0
251,253,1,3,9,1
252,254,19,1,12,2
253,255,20,1,14,1
254,256,11,2,15,0
255,257,4,0,17,4
256,258,3,0,18,1
257,259,20,0,2,0
258,260,9,2,3,1
259,261,1,1,4,1
260,262,7,0,5,2
261,263,8,1,11,0
262,264,13,2,12,0
263,265,16,2,15,0
264,266,6,1,17,4
265,267,14,0,18,0
266,268,10,0,19,2
267,269,17,1,1,2
268,270,18,0,6,1
269,271,4,2,7,1
270,272,12,3,8,0
271,273,5,0,10,0
272,274,15,0,9,5
273,275,19,0,13,1
274,276,2,1,14,1
275,277,3,2,16,1
276,278,11,1,20,0
277,279,14,0,3,3
278,280,9,1,4,1
279,281,13,0,6,0
280,282,10,2,8,1
281,283,5,1,11,0
282,284,20,1,12,4
283,285,2,0,15,1
284,287,7,1,18,0
285,288,1,3,19,3
286,289,11,3,1,0
287,290,8,1,2,3
288,291,18,5,5,2
289,292,6,1,7,1
290,293,15,1,10,2
291,294,12,2,9,0
292,295,3,1,13,2
293,296,17,2,14,2
294,297,4,2,16,3
295,298,19,3,20,2
296,299,7,0,3,0
297,300,14,2,4,1
298,301,5,4,6,1
299,302,20,1,8,0
300,303,2,1,11,2
301,304,10,2,12,1
302,305,1,3,15,0
303,306,13,3,17,1
304,307,16,0,18,3
305,308,9,2,19,3
306,309,8,1,1,1
307,310,12,2,2,1
308,311,3,0,5,0
309,312,17,2,7,2
310,313,11,1,10,1
311,314,18,0,9,3
312,315,4,1,13,3
313,316,19,2,14,3
314,318,15,0,20,1
315,321,17,1,8,0
316,325,16,2,12,5
317,379,13,1,4,0
318,380,2,0,12,2
