,Name,Chance of playing this round,Chance of playing next round,code,Position,Live cost,PPG,GWPoints,Percentage owned,Team,Total points,Minutes Played,Goals Scored,Assists,Clean sheets,Goals Conceded,Penalties Saved,Penalties Missed,Yellow Cards,Saves,Bonus,ICT,Fixture_Strength,Result_Strength,Predicted Points
0,Mesut Özil,0.0,0.0,37605,3,67,0.0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1,Sokratis Papastathopoulos,0.0,0.0,39476,2,48,0.0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
2,David Luiz Moreira Marinho,0.0,75.0,41270,2,54,2.1,0,0.8,1,40,1344,1,0,3,20,0,0,1,0,0,41.0,0,0,0
3,Pierre-Emerick Aubameyang,0.0,75.0,54694,3,113,4.3,0,6.6,1,108,2007,9,1,7,25,0,0,2,0,10,144.9,0,0,0
4,Cédric Soares,100.0,100.0,58822,2,46,2.8,0,0.3,1,28,744,0,1,2,11,0,0,1,0,3,29.2,0,0,0
5,Alexandre Lacazette,0.0,75.0,59966,4,84,4.5,0,5.5,1,126,1864,13,3,7,20,0,0,3,0,21,169.6,0,0,0
6,Shkodran Mustafi,0.0,0.0,69140,2,50,1.0,0,0.0,1,3,45,0,0,0,1,0,0,0,0,0,1.3,0,0,0
7,Bernd Leno,100.0,100.0,80201,1,50,3.5,0,7.1,1,110,2771,0,0,9,35,1,0,0,76,8,61.9,0,0,0
8,Granit Xhaka,100.0,100.0,84450,3,52,2.3,2,0.4,1,64,2327,1,2,8,27,0,0,6,0,1,82.5,0,0,0
9,Pablo Marí,100.0,100.0,92371,2,44,3.1,2,0.1,1,28,810,0,0,3,8,0,0,2,0,1,19.0,0,0,0
10,Héctor Bellerín,100.0,100.0,98745,2,50,3.7,0,3.8,1,85,1977,1,3,6,24,0,0,8,0,15,87.8,0,0,0
11,Calum Chambers,100.0,100.0,101184,2,45,3.2,2,0.2,1,16,442,0,1,1,8,0,0,0,0,1,21.8,0,0,0
12,Sead Kolasinac,0.0,0.0,111457,2,48,2.0,0,0.1,1,2,90,0,0,0,1,0,0,0,0,0,1.3,0,0,0
13,Rob Holding,100.0,100.0,156074,2,42,3.3,2,4.8,1,87,2197,0,1,9,24,0,0,2,0,8,67.1,0,0,0
14,Kieran Tierney,0.0,75.0,192895,2,52,3.4,0,3.7,1,78,2015,1,3,6,25,0,0,4,0,4,102.7,0,0,0
15,Nicolas Pépé,100.0,100.0,195735,3,76,2.9,3,1.2,1,73,1324,5,3,3,19,0,0,1,0,3,113.1,0,0,0
16,Lucas Torreira,0.0,0.0,198849,3,47,0.0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17,Reiss Nelson,100.0,100.0,200641,3,51,1.0,0,0.0,1,2,70,0,0,0,0,0,0,0,0,0,2.4,0,0,0
18,Edward Nketiah,,,205533,4,53,2.1,2,0.6,1,36,411,2,1,1,6,0,0,0,0,5,42.1,0,0,0
19,Emile Smith Rowe,100.0,100.0,209289,3,42,3.1,2,2.2,1,50,1123,0,5,6,9,0,0,0,0,0,65.8,0,0,0
20,Bukayo Saka,100.0,100.0,223340,3,51,3.7,2,7.8,1,103,2319,5,4,7,29,0,0,1,0,8,199.1,0,0,0
21,Matteo Guendouzi,0.0,0.0,242166,3,47,0.0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
22,Gabriel Teodoro Martinelli Silva,100.0,100.0,444145,3,49,2.2,1,0.3,1,22,417,1,0,3,3,0,0,0,0,0,37.4,0,0,0
23,William Saliba,0.0,0.0,462424,2,40,0.0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
24,Mathew Ryan,100.0,100.0,131897,1,41,2.4,0,5.8,1,31,1170,0,0,2,21,0,0,1,23,0,19.4,0,0,0
25,Willian Borges Da Silva,100.0,100.0,47431,3,75,2.8,1,2.7,1,65,1218,0,7,2,16,0,0,0,0,6,81.0,0,0,0
26,Gabriel Magalhães,100.0,100.0,226597,2,49,3.1,0,4.5,1,55,1546,2,0,3,22,0,0,2,0,6,60.6,0,0,0
27,Daniel Ceballos Fernández,100.0,100.0,182539,3,47,2.5,2,0.7,1,58,1444,0,4,5,16,0,0,3,0,7,85.0,0,0,0
28,Mohamed Naser El Sayed Elneny,100.0,100.0,153256,3,42,1.7,0,1.0,1,33,1178,0,0,3,18,0,0,2,0,0,24.0,0,0,0
29,Matt Macey,0.0,0.0,113534,1,40,0.0,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
30,Rúnar Alex Rúnarsson,100.0,100.0,115918,1,44,1.0,0,0.0,1,1,15,0,0,0,0,0,0,0,2,0,1.7,0,0,0
31,Thomas Partey,100.0,100.0,167199,3,49,2.0,1,0.3,1,38,1253,0,2,4,17,0,0,4,0,0,52.8,0,0,0
32,Martin Ødegaard,75.0,100.0,184029,3,58,2.4,1,0.8,1,24,577,1,0,0,12,0,0,0,0,3,38.8,0,0,0
33,Miguel Azeez,,,439482,3,45,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
34,Emiliano Martínez,,,98980,1,54,5.1,2,40.2,2,164,2880,0,0,14,37,1,0,0,117,24,89.6,0,0,0
35,Tom Heaton,100.0,100.0,21205,1,45,0.0,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
36,Ahmed El Mohamady,,,37339,2,43,2.6,1,0.4,2,31,698,0,0,3,6,0,0,2,0,4,36.4,0,0,0
37,Henri Lansbury,0.0,0.0,40564,3,43,0.0,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
38,Neil Taylor,,,47390,2,42,-1.0,0,0.2,2,-1,15,0,0,0,2,0,0,1,0,0,0.2,0,0,0
39,Jed Steer,,,79852,1,39,0.0,0,4.4,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
40,Conor Hourihane,0.0,0.0,85242,3,59,5.0,0,0.1,2,20,225,1,1,2,2,0,0,0,0,3,18.2,0,0,0
